using device: cuda
loaded 338025 tokens
1 epoch = 20 batches
num decayed parameter tensors: 50, with 124,354,560 parameters
num non-decayed parameter tensors: 98, with 121,344 parameters
using fused AdamW: True
step0 | loss: 10.947460174560547 | dt: 17781.67ms | tok/sec:  921.40 | norm: 28.57 | lr: 0.00001000
saving checkpoint ckpt0.pt to .
step1 | loss: 10.041606903076172 | dt: 6922.80ms | tok/sec:  2366.67 | norm: 18.41 | lr: 0.00002000
step2 | loss: 9.565998077392578 | dt: 1429.06ms | tok/sec:  11464.90 | norm: 8.98 | lr: 0.00003000
step3 | loss: 9.289876937866211 | dt: 2066.91ms | tok/sec:  7926.81 | norm: 6.40 | lr: 0.00004000
step4 | loss: 9.140950202941895 | dt: 1395.43ms | tok/sec:  11741.22 | norm: 9.45 | lr: 0.00005000
step5 | loss: 9.08035659790039 | dt: 2063.07ms | tok/sec:  7941.58 | norm: 3.40 | lr: 0.00006000
step6 | loss: 9.136154174804688 | dt: 1400.70ms | tok/sec:  11696.99 | norm: 6.33 | lr: 0.00007000
step7 | loss: 9.04527473449707 | dt: 1996.33ms | tok/sec:  8207.05 | norm: 4.53 | lr: 0.00008000
step8 | loss: 8.838671684265137 | dt: 1399.80ms | tok/sec:  11704.49 | norm: 4.25 | lr: 0.00009000
step9 | loss: 8.712611198425293 | dt: 1995.77ms | tok/sec:  8209.36 | norm: 3.32 | lr: 0.00010000
step10 | loss: 8.519638061523438 | dt: 1403.70ms | tok/sec:  11672.00 | norm: 2.21 | lr: 0.00011000
step11 | loss: 8.473898887634277 | dt: 1997.54ms | tok/sec:  8202.07 | norm: 2.53 | lr: 0.00012000
step12 | loss: 8.277857780456543 | dt: 1403.36ms | tok/sec:  11674.85 | norm: 2.64 | lr: 0.00013000
step13 | loss: 8.355740547180176 | dt: 1997.58ms | tok/sec:  8201.92 | norm: 3.01 | lr: 0.00014000
step14 | loss: 8.301833152770996 | dt: 1404.06ms | tok/sec:  11668.98 | norm: 2.53 | lr: 0.00015000
step15 | loss: 8.052412033081055 | dt: 1998.31ms | tok/sec:  8198.92 | norm: 2.15 | lr: 0.00016000
step16 | loss: 7.940011978149414 | dt: 1395.78ms | tok/sec:  11738.23 | norm: 1.90 | lr: 0.00017000
step17 | loss: 7.7959442138671875 | dt: 1991.26ms | tok/sec:  8227.97 | norm: 1.70 | lr: 0.00018000
step18 | loss: 7.656302452087402 | dt: 1399.64ms | tok/sec:  11705.90 | norm: 1.94 | lr: 0.00019000
step19 | loss: 7.384096145629883 | dt: 1996.92ms | tok/sec:  8204.63 | norm: 2.00 | lr: 0.00020000
step20 | loss: 7.4453444480896 | dt: 1400.19ms | tok/sec:  11701.30 | norm: 1.61 | lr: 0.00021000
